Control ID,Control Title,Assessment Objective ID,Assessment Objective,Assessment Methods,Status,Implementation Details,Evidence Reference,Gap Description,Point Deduction
3.1.1,Limit system access to authorized users,3.1.1[a],Authorized users are identified,"Examine, Interview, Test",,,,,
3.1.1,Limit system access to authorized users,3.1.1[b],Processes acting on behalf of authorized users are identified,"Examine, Interview, Test",,,,,
3.1.1,Limit system access to authorized users,3.1.1[c],Devices authorized to connect to the system are identified,"Examine, Interview, Test",,,,,
3.1.1,Limit system access to authorized users,3.1.1[d],System access is limited to authorized users,"Examine, Interview, Test",,,,,
3.1.1,Limit system access to authorized users,3.1.1[e],System access is limited to processes acting on behalf of authorized users,"Examine, Interview, Test",,,,,
3.1.1,Limit system access to authorized users,3.1.1[f],System access is limited to authorized devices,"Examine, Interview, Test",,,,,
3.1.2,Limit system access to transaction and function types,3.1.2[a],Types of transactions and functions authorized users are permitted to execute are defined,"Examine, Interview, Test",,,,,
3.1.2,Limit system access to transaction and function types,3.1.2[b],System access is limited to defined transaction and function types,"Examine, Interview, Test",,,,,
3.1.3,Control CUI flow per approved authorizations,3.1.3[a],Approved authorizations for controlling CUI flow within the system are defined,"Examine, Interview, Test",,,,,
3.1.3,Control CUI flow per approved authorizations,3.1.3[b],Approved authorizations for controlling CUI flow between interconnected systems are defined,"Examine, Interview, Test",,,,,
3.1.3,Control CUI flow per approved authorizations,3.1.3[c],CUI flow is controlled per approved authorizations,"Examine, Interview, Test",,,,,
3.1.4,Separate duties of individuals,3.1.4[a],Duties of individuals requiring separation are defined,"Examine, Interview, Test",,,,,
3.1.4,Separate duties of individuals,3.1.4[b],Duties of individuals are separated,"Examine, Interview, Test",,,,,
3.1.5,Employ least privilege,3.1.5[a],Privileged accounts are identified,"Examine, Interview, Test",,,,,
3.1.5,Employ least privilege,3.1.5[b],Least privilege is employed for authorized accesses,"Examine, Interview, Test",,,,,
3.1.6,Use non-privileged accounts except for admin functions,3.1.6[a],Functions requiring privileged accounts are identified,"Examine, Interview, Test",,,,,
3.1.6,Use non-privileged accounts except for admin functions,3.1.6[b],Non-privileged accounts are used for non-security functions,"Examine, Interview, Test",,,,,
3.1.7,Prevent non-privileged users from executing privileged functions,3.1.7[a],Privileged functions are defined,"Examine, Interview, Test",,,,,
3.1.7,Prevent non-privileged users from executing privileged functions,3.1.7[b],Non-privileged users are prevented from executing privileged functions,"Examine, Interview, Test",,,,,
3.1.7,Prevent non-privileged users from executing privileged functions,3.1.7[c],Capture of privileged function execution is prevented,"Examine, Interview, Test",,,,,
3.1.8,Limit unsuccessful logon attempts,3.1.8[a],Number of consecutive invalid logon attempts is defined,"Examine, Interview, Test",,,,,
3.1.8,Limit unsuccessful logon attempts,3.1.8[b],System enforces limit on consecutive invalid logon attempts,"Examine, Interview, Test",,,,,
3.1.9,Provide privacy and security notices,3.1.9[a],System use notification messages are displayed before granting access,"Examine, Interview, Test",,,,,
3.1.9,Provide privacy and security notices,3.1.9[b],Notification message states appropriate privacy and security information,"Examine, Interview, Test",,,,,
3.1.10,Use session lock after inactivity,3.1.10[a],Period of inactivity for session lock is defined,"Examine, Interview, Test",,,,,
3.1.10,Use session lock after inactivity,3.1.10[b],System initiates session lock after defined inactivity,"Examine, Interview, Test",,,,,
3.1.11,Terminate sessions after defined conditions,3.1.11[a],Conditions requiring session disconnect are defined,"Examine, Interview, Test",,,,,
3.1.11,Terminate sessions after defined conditions,3.1.11[b],User sessions are automatically terminated after defined conditions,"Examine, Interview, Test",,,,,
3.1.12,Monitor and control remote access,3.1.12[a],Remote access sessions are monitored,"Examine, Interview, Test",,,,,
3.1.12,Monitor and control remote access,3.1.12[b],Remote access sessions are controlled,"Examine, Interview, Test",,,,,
3.1.13,Employ cryptographic mechanisms for remote access,3.1.13[a],Cryptographic mechanisms protect confidentiality of remote access,"Examine, Interview, Test",,,,,
3.1.14,Route remote access via managed control points,3.1.14[a],Managed network access control points are identified,"Examine, Interview, Test",,,,,
3.1.14,Route remote access via managed control points,3.1.14[b],Remote access is routed through managed control points,"Examine, Interview, Test",,,,,
3.1.15,Authorize remote privileged commands,3.1.15[a],Privileged commands authorized for remote execution are identified,"Examine, Interview, Test",,,,,
3.1.15,Authorize remote privileged commands,3.1.15[b],Authorization mechanisms for remote privileged commands are employed,"Examine, Interview, Test",,,,,
3.1.16,Authorize wireless access prior to connection,3.1.16[a],Wireless access points are identified,"Examine, Interview, Test",,,,,
3.1.16,Authorize wireless access prior to connection,3.1.16[b],Wireless access is authorized prior to connection,"Examine, Interview, Test",,,,,
3.1.17,Protect wireless access with authentication and encryption,3.1.17[a],Wireless access is authenticated,"Examine, Interview, Test",,,,,
3.1.17,Protect wireless access with authentication and encryption,3.1.17[b],Wireless access is encrypted,"Examine, Interview, Test",,,,,
3.1.18,Control mobile device connections,3.1.18[a],Mobile devices that process/store/transmit CUI are identified,"Examine, Interview, Test",,,,,
3.1.18,Control mobile device connections,3.1.18[b],Connection of mobile devices is controlled,"Examine, Interview, Test",,,,,
3.1.19,Encrypt CUI on mobile devices,3.1.19[a],Mobile devices processing/storing/transmitting CUI are identified,"Examine, Interview, Test",,,,,
3.1.19,Encrypt CUI on mobile devices,3.1.19[b],Cryptographic mechanisms protect CUI on mobile devices,"Examine, Interview, Test",,,,,
3.1.20,Verify and control external system connections,3.1.20[a],External systems that may connect are identified,"Examine, Interview, Test",,,,,
3.1.20,Verify and control external system connections,3.1.20[b],Connections to external systems are verified,"Examine, Interview, Test",,,,,
3.1.20,Verify and control external system connections,3.1.20[c],Connections to external systems are controlled,"Examine, Interview, Test",,,,,
3.1.21,Limit portable storage on external systems,3.1.21[a],Restrictions on portable storage use on external systems are identified,"Examine, Interview, Test",,,,,
3.1.21,Limit portable storage on external systems,3.1.21[b],Use of portable storage on external systems is limited,"Examine, Interview, Test",,,,,
3.1.22,Control CUI on publicly accessible systems,3.1.22[a],Individuals authorized to post on public systems are identified,"Examine, Interview, Test",,,,,
3.1.22,Control CUI on publicly accessible systems,3.1.22[b],Procedures ensure CUI is not posted on public systems,"Examine, Interview, Test",,,,,
3.1.22,Control CUI on publicly accessible systems,3.1.22[c],Review process exists prior to posting content publicly,"Examine, Interview, Test",,,,,
3.2.1,Ensure awareness of security risks,3.2.1[a],Managers and admins are aware of security risks from their activities,"Examine, Interview, Test",,,,,
3.2.1,Ensure awareness of security risks,3.2.1[b],Users are aware of security risks from their activities,"Examine, Interview, Test",,,,,
3.2.1,Ensure awareness of security risks,3.2.1[c],Personnel are aware of applicable security policies and procedures,"Examine, Interview, Test",,,,,
3.2.2,Train personnel on security roles,3.2.2[a],Security-related duties and responsibilities are identified,"Examine, Interview, Test",,,,,
3.2.2,Train personnel on security roles,3.2.2[b],Personnel are trained before CUI access is granted,"Examine, Interview, Test",,,,,
3.2.3,Provide insider threat awareness training,3.2.3[a],Training on recognizing and reporting insider threats is provided,"Examine, Interview, Test",,,,,
3.3.1,Create and retain audit logs,3.3.1[a],Events to be logged are defined,"Examine, Interview, Test",,,,,
3.3.1,Create and retain audit logs,3.3.1[b],Content of audit records for each event type is determined,"Examine, Interview, Test",,,,,
3.3.1,Create and retain audit logs,3.3.1[c],Audit records are created,"Examine, Interview, Test",,,,,
3.3.1,Create and retain audit logs,3.3.1[d],Audit records contain the defined content,"Examine, Interview, Test",,,,,
3.3.2,Trace actions to individual users,3.3.2[a],Content of audit records is determined,"Examine, Interview, Test",,,,,
3.3.2,Trace actions to individual users,3.3.2[b],Audit records support after-the-fact investigations,"Examine, Interview, Test",,,,,
3.3.3,Review and update logged events,3.3.3[a],Logged events are reviewed and updated,"Examine, Interview, Test",,,,,
3.3.4,Alert on audit failure,3.3.4[a],Personnel to alert on audit failure are identified,"Examine, Interview, Test",,,,,
3.3.4,Alert on audit failure,3.3.4[b],Alerts are generated on audit logging failures,"Examine, Interview, Test",,,,,
3.3.5,Correlate audit record analysis,3.3.5[a],Audit records are reviewed,"Examine, Interview, Test",,,,,
3.3.5,Correlate audit record analysis,3.3.5[b],Audit records are analyzed,"Examine, Interview, Test",,,,,
3.3.5,Correlate audit record analysis,3.3.5[c],Analysis processes are correlated for investigation and response,"Examine, Interview, Test",,,,,
3.3.6,Provide audit reduction and reporting,3.3.6[a],Audit record reduction capability is provided,"Examine, Interview, Test",,,,,
3.3.6,Provide audit reduction and reporting,3.3.6[b],Report generation capability is provided,"Examine, Interview, Test",,,,,
3.3.7,Provide audit analysis capability,3.3.7[a],System provides capability to process audit records for events of interest,"Examine, Interview, Test",,,,,
3.3.8,Protect audit information and tools,3.3.8[a],Audit information is protected from unauthorized access,"Examine, Interview, Test",,,,,
3.3.8,Protect audit information and tools,3.3.8[b],Audit information is protected from unauthorized modification,"Examine, Interview, Test",,,,,
3.3.8,Protect audit information and tools,3.3.8[c],Audit information is protected from unauthorized deletion,"Examine, Interview, Test",,,,,
3.3.8,Protect audit information and tools,3.3.8[d],Audit tools are protected from unauthorized access/modification/deletion,"Examine, Interview, Test",,,,,
3.3.9,Limit audit management to privileged users,3.3.9[a],Subset of privileged users is identified,"Examine, Interview, Test",,,,,
3.3.9,Limit audit management to privileged users,3.3.9[b],Audit functionality management is limited to privileged subset,"Examine, Interview, Test",,,,,
3.4.1,Establish baseline configurations,3.4.1[a],Baseline configurations are developed and documented,"Examine, Interview, Test",,,,,
3.4.1,Establish baseline configurations,3.4.1[b],Baselines include software/firmware/hardware components,"Examine, Interview, Test",,,,,
3.4.1,Establish baseline configurations,3.4.1[c],Baseline configurations are maintained,"Examine, Interview, Test",,,,,
3.4.2,Establish security configuration settings,3.4.2[a],Security configuration settings are established,"Examine, Interview, Test",,,,,
3.4.2,Establish security configuration settings,3.4.2[b],Security configuration settings are enforced,"Examine, Interview, Test",,,,,
3.4.3,Track and log changes,3.4.3[a],Changes to the system are tracked,"Examine, Interview, Test",,,,,
3.4.3,Track and log changes,3.4.3[b],Changes to the system are reviewed,"Examine, Interview, Test",,,,,
3.4.3,Track and log changes,3.4.3[c],Changes are approved/disapproved with security impact analysis,"Examine, Interview, Test",,,,,
3.4.3,Track and log changes,3.4.3[d],Changes to the system are logged,"Examine, Interview, Test",,,,,
3.4.4,Analyze security impact of changes,3.4.4[a],Security impact analyses are conducted prior to change implementation,"Examine, Interview, Test",,,,,
3.4.5,Define and enforce access restrictions,3.4.5[a],Access restrictions for changes are defined,"Examine, Interview, Test",,,,,
3.4.5,Define and enforce access restrictions,3.4.5[b],Access restrictions for changes are documented,"Examine, Interview, Test",,,,,
3.4.5,Define and enforce access restrictions,3.4.5[c],Access restrictions for changes are approved,"Examine, Interview, Test",,,,,
3.4.5,Define and enforce access restrictions,3.4.5[d],Access restrictions for changes are enforced,"Examine, Interview, Test",,,,,
3.4.6,Employ least functionality,3.4.6[a],Essential capabilities are identified,"Examine, Interview, Test",,,,,
3.4.6,Employ least functionality,3.4.6[b],System provides only essential capabilities,"Examine, Interview, Test",,,,,
3.4.6,Employ least functionality,3.4.6[c],Prohibited/restricted functions/ports/protocols/services are identified,"Examine, Interview, Test",,,,,
3.4.6,Employ least functionality,3.4.6[d],Use of prohibited/restricted items is prevented/restricted,"Examine, Interview, Test",,,,,
3.4.7,Restrict software execution,3.4.7[a],User-installed software is identified,"Examine, Interview, Test",,,,,
3.4.7,Restrict software execution,3.4.7[b],Execution of user-installed software is restricted/disabled/prevented,"Examine, Interview, Test",,,,,
3.4.8,Apply deny or allow-by-exception policy,3.4.8[a],Deny-by-exception policy is employed OR,"Examine, Interview, Test",,,,,
3.4.8,Apply deny or allow-by-exception policy,3.4.8[b],Allow-by-exception policy is employed,"Examine, Interview, Test",,,,,
3.4.9,Control user-installed software,3.4.9[a],User-installed software is controlled,"Examine, Interview, Test",,,,,
3.4.9,Control user-installed software,3.4.9[b],User-installed software is monitored,"Examine, Interview, Test",,,,,
3.5.1,Identify users/processes/devices,3.5.1[a],System users are identified,"Examine, Interview, Test",,,,,
3.5.1,Identify users/processes/devices,3.5.1[b],Processes acting on behalf of users are identified,"Examine, Interview, Test",,,,,
3.5.1,Identify users/processes/devices,3.5.1[c],Devices accessing the system are identified,"Examine, Interview, Test",,,,,
3.5.2,Authenticate users/processes/devices,3.5.2[a],System users are authenticated,"Examine, Interview, Test",,,,,
3.5.2,Authenticate users/processes/devices,3.5.2[b],Processes acting on behalf of users are authenticated,"Examine, Interview, Test",,,,,
3.5.2,Authenticate users/processes/devices,3.5.2[c],Devices accessing the system are authenticated,"Examine, Interview, Test",,,,,
3.5.3,Use multifactor authentication,3.5.3[a],MFA for local privileged access is implemented,"Examine, Interview, Test",,,,,
3.5.3,Use multifactor authentication,3.5.3[b],MFA for local non-privileged access is implemented,"Examine, Interview, Test",,,,,
3.5.3,Use multifactor authentication,3.5.3[c],MFA for network privileged access is implemented,"Examine, Interview, Test",,,,,
3.5.3,Use multifactor authentication,3.5.3[d],MFA for network non-privileged access is implemented,"Examine, Interview, Test",,,,,
3.5.4,Use replay-resistant authentication,3.5.4[a],Replay-resistant authentication mechanisms are employed,"Examine, Interview, Test",,,,,
3.5.5,Prevent identifier reuse,3.5.5[a],Identifiers are prevented from reuse for defined period,"Examine, Interview, Test",,,,,
3.5.6,Disable inactive identifiers,3.5.6[a],Time period of inactivity for identifier disabling is defined,"Examine, Interview, Test",,,,,
3.5.6,Disable inactive identifiers,3.5.6[b],Identifiers are disabled after defined inactivity,"Examine, Interview, Test",,,,,
3.5.7,Enforce password complexity,3.5.7[a],Minimum password complexity is defined,"Examine, Interview, Test",,,,,
3.5.7,Enforce password complexity,3.5.7[b],Password complexity is enforced,"Examine, Interview, Test",,,,,
3.5.8,Prohibit password reuse,3.5.8[a],Number of generations for password reuse prohibition is defined,"Examine, Interview, Test",,,,,
3.5.8,Prohibit password reuse,3.5.8[b],Password reuse is prohibited for defined generations,"Examine, Interview, Test",,,,,
3.5.9,Allow temporary passwords for initial logon only,3.5.9[a],Temporary passwords are allowed for system logons,"Examine, Interview, Test",,,,,
3.5.9,Allow temporary passwords for initial logon only,3.5.9[b],Temporary passwords require immediate change on first use,"Examine, Interview, Test",,,,,
3.5.10,Store and transmit cryptographically protected passwords,3.5.10[a],Passwords are cryptographically protected in storage,"Examine, Interview, Test",,,,,
3.5.10,Store and transmit cryptographically protected passwords,3.5.10[b],Passwords are cryptographically protected in transit,"Examine, Interview, Test",,,,,
3.5.11,Obscure authentication feedback,3.5.11[a],Feedback of authentication information is obscured,"Examine, Interview, Test",,,,,
